id,name,latitude,longitude,date,category,layer_group,description,confidence,sources,notes
1,Wuhan Institute of Virology (WIV),30.3764,114.2625,2018-01-01 00:00:00,Lab,COVID Core,"Premier Chinese SARS-related coronavirus research center. BSL-4 facility. Extensive bat CoV work including RaTG13 and chimeric constructs under EcoHealth collaboration.",High,"Peer-reviewed papers, grant reports, ODNI, facilities card","Main campus"
2,Huanan Seafood Wholesale Market,30.6196,114.2576,2019-12-01 00:00:00,Location,COVID Core,"Early case cluster location. Environmental samples later tested positive for SARS-CoV-2. Live mammals present.",High,"Chinese CDC, WHO, peer-reviewed studies","Early outbreak epicenter debate"
3,EcoHealth Alliance (NY HQ),40.7484,-73.9857,2014-01-01 00:00:00,Organization,COVID Core,"U.S. nonprofit that received NIH funding and subawarded bat coronavirus work to WIV. Later debarred by HHS.",High,"NIH RePORTER, congressional records","Peter Daszak President"
4,NIH / NIAID (Bethesda),39.0028,-77.1031,2014-01-01 00:00:00,Government,COVID Core,"Primary U.S. funder of the EcoHealth–WIV bat coronavirus work under Fauci.",High,"NIH records, grant documents",""
5,USAMRIID / Fort Detrick,39.4350,-77.4270,2019-01-01 00:00:00,Lab,High-Containment Labs,"U.S. Army BSL-4. Defensive biodefense mission. Comparative node to WIV. 2019 CDC select-agent suspension.",High,"USAMRIID, CDC, facilities card",""
6,Galveston National Laboratory,29.3100,-94.7750,2010-01-01 00:00:00,Lab,High-Containment Labs,"NIAID National Biocontainment Laboratory (BSL-4). Documented formal collaboration/training relationship with WIV.",High,"UTMB, NIAID, facilities card",""
7,NEIDL (Boston University),42.3370,-71.1000,2017-01-01 00:00:00,Lab,High-Containment Labs,"Second NIAID National Biocontainment Laboratory. BSL-4 approved 2017.",High,"BU, NIAID",""
8,CDC Atlanta High-Containment,33.7490,-84.3880,2000-01-01 00:00:00,Lab,High-Containment Labs,"CDC high-containment laboratories.",High,"CDC",""
9,NIAID IRF-Frederick,39.4350,-77.4100,2014-01-01 00:00:00,Lab,High-Containment Labs,"NIAID Integrated Research Facility at Fort Detrick. Part of intramural high-containment cluster.",High,"NIAID",""
10,Rocky Mountain Laboratories (RML),46.4000,-114.1500,2000-01-01 00:00:00,Lab,High-Containment Labs,"NIAID Rocky Mountain Laboratories (Hamilton, MT). High-containment research.",High,"NIAID",""
